web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1549195645-1380","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@TwoPeasandPod","Maria Lichty","{NEW} Vegetable Quinoa Soup: http://www.twopeasandtheirpod.com/vegetable-quinoa-soup/ … #vegan #glutenfree #recipe","","3","4","1350480865000","7:04 PM - 17 Oct 2012","/TwoPeasandPod/status/258561606169001984"
"1549195645-1069","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@LoveMySilk","Silk","With all holiday baking, how to sub out eggs to make your #recipe #vegan via @TheBakingVegan http://ow.ly/eYvPO","2","6","5","1351878630000","11:20 PM - 2 Nov 2012","/LoveMySilk/status/264424256056745984"
"1549195645-129","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@vegan_effect","Claire Morley","Need cruelty free recipes for #Christmas? See here, great website, all #vegan & delicious :) http://www.vegetarianrecipeclub.org.uk/","","15","3","1356287697000","12:04 AM - 24 Dec 2012","/vegan_effect/status/282917224644218880"
"1549195645-96","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@LoveMySilk","Silk","#Vegan Marshmallow #recipe via @ourpassion4food, as shown with our Chocolate Monk #Silkology drink http://ow.ly/fwDQv","","3","2","1356478508000","5:05 AM - 26 Dec 2012","/LoveMySilk/status/283717546115477505"
"1549195645-62","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@ArezouRezvani","Arezou Rezvani","NPR's @montagnenpr talks to Oakland-based chef @bryantterry about 
giving Afro/Asian cuisine the #vegan treatment. http://www.npr.org/2012/12/28/167528801/tamari-greens-miso-yams-chef-gives-vegans-multicultural-flavor …","","14","2","1356698864000","6:17 PM - 28 Dec 2012","/ArezouRezvani/status/284641782736764930"
"1549195645-546","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@vegucated","Vegucated","Please share with your veg-curious peeps * How To Eat #Vegan For A Week And Love It http://www.buzzfeed.com/rachelysanders/how-to-eat-vegan-for-a-week-and-love-it … via @buzzfeedfood","","5","2","1354166587000","10:53 AM - 29 Nov 2012","/vegucated/status/274020643622776833"
"1549195645-527","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@eartheats","Earth Eats","Basic #Vegan Pizza Dough http://bit.ly/TnzPhj  #recipe","1","9","6","1354232832000","5:17 AM - 30 Nov 2012","/eartheats/status/274298495895220224"
"1549195645-1336","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@theblendergirl","The Blender Girl","GREAT news for #GlutenFree #Vegan Peeps and baking lovers! The NEW @BabyCakesNYC APP is OUT! http://vimeo.com/51396154  @BabyCakesNYCLA #GF #GFree","1","4","2","1350656973000","7:59 PM - 19 Oct 2012","/theblendergirl/status/259300256695582720"
"1549195645-1268","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@JoeTrippi","Joe Trippi","New Article on being a #Liberal #Democrat on FOX -- and how Bill Clinton and going #Vegan helped save my life http://www.tnr.com/article/politics/magazine/108839/how-joe-trippi-found-happiness-fox-news … @pshapiro","12","16","7","1350942900000","3:25 AM - 23 Oct 2012","/JoeTrippi/status/260499519718948866"
"1549195645-52","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@kathyfreston","Kathy Freston","This pasta looks delish &ez.  use #vegan parm tho NYTimes: Penne With Mushroom Ragout and Spinach http://nyti.ms/Ubpub4","2","2","5","1356787486000","6:54 PM - 29 Dec 2012","/kathyfreston/status/285013492677894146"
"1549195645-1282","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@healthybdaily","Healthy B Daily","Recipe for #vegan pumpkin spice latte! #halloween #fall http://bit.ly/WDs10f","1","6","6","1350914433000","7:30 PM - 22 Oct 2012","/healthybdaily/status/260380121599471616"
"1549195645-165","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@AllisonCabellon","Allison Cabellon","So #grateful for a blue cove day. Exactly what I needed.  Now, just waiting for my #vegan chocolate cake to finish baking. #tweet4taiji","","2","1","1356053664000","7:04 AM - 21 Dec 2012","/AllisonCabellon/status/281935620975235072"
"1549195645-1066","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@RyanSweeney82","Ryan Andrew Sweeney","So dope!!! #vegan #atlanta  @ Soul Vegetarian II http://instagr.am/p/RiiRVegwIj/","1","1","2","1351886070000","1:24 AM - 3 Nov 2012","/RyanSweeney82/status/264455463452684288"
"1549195645-1243","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@jobsearchNO","JobSearchNO","#News - Top 10 Upscale #Vegan #Restaurants in #America - Even meat eaters are raving about these plant-based.. http://www.organicportal.info/index.php/home-mainmenu-1/news-mainmenu-2/1-latest/3851-news-top-10-upscale-vegan-restaurants-in-america-even-meat-eaters-are-raving-about-these-plant-based-hotspots.html … #organic","","2","2","1351075506000","4:15 PM - 24 Oct 2012","/jobsearchNO/status/261055711381946368"
"1549195645-1181","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@EarthActivists","EAs for Earth(lings)","the goal is #vegan ... but #vegetarian #organics #fairtrade and #sustainable are also acceptable to start ... RT if YOU agree :) TY4HELP","","7","1","1351318208000","11:40 AM - 27 Oct 2012","/EarthActivists/status/262073677452029952"
"1549195645-908","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@VeganNewsNet","VNN","Matthew 15:11 http://ow.ly/fbu94  Never sees the blood or hears the scream yet is responsible for the killing #Vegan #CrueltyFree #Ahimsa","1","2","1","1352649306000","9:25 PM - 11 Nov 2012","/VeganNewsNet/status/267656707419803648"
"1549195645-44","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@MrMarkDPotter","Mark D. Potter","Day #4 of being #vegan enjoying a late lunch @theowlhouse #ROC good stuff","1","1","2","1356811629000","1:37 AM - 30 Dec 2012","/MrMarkDPotter/status/285114755541266432"
"1549195645-1290","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@PhilRecipes","Philippines Recipes","Recipe for Fried Lumpia - Vegan! http://ow.ly/eDFEH  #vegan #filipinofood #Filipino via @AstigVegan","","3","4","1350864024000","5:30 AM - 22 Oct 2012","/PhilRecipes/status/260168692170620928"
"1549195645-1199","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@LMiaoBakery","L'Miao Bakery","L'Miao Bakery will be at the Carindale Green Heart Fair this Sunday. #gf #glutenfree #vegan #celiac #brisban http://instagr.am/p/RO77unM4QM/","","4","","1351228477000","10:44 AM - 26 Oct 2012","/LMiaoBakery/status/261697320352092160"
"1549195645-1340","https://twitter.com/search?l=&q=%23vegan%20since%3A2012-01-01%20until%3A2012-12-31&src=typd","@GreatSkeptic","David Hume  🇺🇸","You can't eat animals and be an ""animal lover."" That's like calling a serial killer a ""people person."" #Vegan","13","152","54","1350642134000","3:52 PM - 19 Oct 2012","/GreatSkeptic/status/259238016499982336"
